476: S = 222; I = 0; R = 49810
477: S = 222; I = 0; R = 49810
478: S = 222; I = 0; R = 49810
479: S = 222; I = 0; R = 49810
480: S = 222; I = 0; R = 49810
481: S = 222; I = 0; R = 49810
482: S = 222; I = 0; R = 49810
483: S = 222; I = 0; R = 49810
484: S = 222; I = 0; R = 49810
485: S = 222; I = 0; R = 49810
486: S = 222; I = 0; R = 49810
487: S = 222; I = 0; R = 49810
488: S = 222; I = 0; R = 49810
489: S = 222; I = 0; R = 49810
490: S = 222; I = 0; R = 49810
491: S = 222; I = 0; R = 49810
492: S = 222; I = 0; R = 49810
493: S = 222; I = 0; R = 49810
494: S = 222; I = 0; R = 49810
495: S = 222; I = 0; R = 49810
496: S = 222; I = 0; R = 49810
497: S = 222; I = 0; R = 49810
498: S = 222; I = 0; R = 49810
499: S = 222; I = 0; R = 49810
500: S = 222; I = 0; R = 49810
